X;Y;street;category
11.3325094;50.9887954;Gläserstraße;unfall
11.3316846;50.9906477;Gläserstraße;unfall
11.2711980;50.9548996;Bahnhof;unfall
11.3250908;50.9819163;Goetheplatz;körperverletzung
11.2711980;50.9548996;Bahnhof;diebstahl
11.3319659;50.9852060;Am Kirschberg;unkategorisiert
11.3253163;50.9801630;Theaterplatz;körperverletzung
11.32568;50.979871;Theaterplatz;körperverletzung
11.3143136;50.9840682;Schwanseestraße;unfall
11.3143136;50.9840682;Schwanseestraße;drogenmissbrauch
11.3319390;50.9825396;Schwanseestraße;drogenmissbrauch
11.3250908;50.9819163;Schwanseestraße;drogenmissbrauch
11.3316846;50.9906477;Schwanseestraße;drogenmissbrauch
11.3293527;50.9821876;Graben;vandalismus
11.3272818;50.9757614;Amalienstraße;diebstahl
11.3159755;50.9941755;Marcel-Paul-Straße;unfall
11.3253163;50.9801630;Theaterplatz;körperverletzung
11.32568;50.979871;Theaterplatz;körperverletzung
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3294068;50.9798045;Kaufstraße;vandalismus
11.3263522;50.9774667;Schützengasse;unfall
11.3250908;50.9819163;Goetheplatz;diebstahl
11.3291889;50.9808226;Herderplatz;diebstahl
11.329757;50.981215;Herderplatz;diebstahl
11.3143136;50.9840682;Schwanseestraße;unfall
11.3253163;50.9801630;Theaterplatz;vandalismus
11.32568;50.979871;Theaterplatz;vandalismus
11.3170011;50.9775488;Trierer Straße;unfall
11.3167688;50.9774152;Trierer Straße;unfall
11.3200495;50.9802959;Trierer Straße;unfall
11.3294361;50.9750165;Marienstraße;unfall
11.3166160;50.9605911;Berkaer Straße;diebstahl
11.3100061;50.9892677;Prager Straße;unfall
11.3293527;50.9821876;Graben;unfall
11.3267527;50.9766071;Humboldtstraße;unfall
11.3166160;50.9605911;Berkaer Straße;unfall
11.3293527;50.9821876;Berkaer Straße;unfall
11.3209061;50.9907491;Fuldaer Straße;körperverletzung
11.3250908;50.9819163;Goetheplatz;diebstahl
11.3282446;50.9779466;Frauenplan;unfall
11.3250908;50.9819163;Frauenplan;unfall
11.3143136;50.9840682;Schwanseestraße;unfall
11.3170011;50.9775488;Trierer Straße;unfall
11.3166160;50.9605911;Berkaer Straße;unfall
11.3374301;50.9831678;Tiefurter Allee;unfall
11.3293527;50.9821876;Tiefurter Allee;unfall
11.3205021;50.9985582;Rödchenweg;diebstahl
11.3293527;50.9821876;Rödchenweg;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3058685;50.9856682;Budapester Straße;unfall
11.3250908;50.9819163;Goetheplatz;unfall
11.3069221;50.9883866;Straßburger Platz;diebstahl
11.3100061;50.9892677;Prager Straße;diebstahl
